Q,A
An embodiment of the present application relates to a wearable device that provides a haptic effect.,본원의 실시예는 햅틱 효과를 제공하는 웨어러블 디바이스에 관한 것이다.
"In practice, by optimally setting the resistance value R1 of resistor 17, it is possible to further shorten the inspection time.","실제로는, 저항기(17)의 저항값(R1)을 최적 설정함으로써, 더 검사 시간의 단축을 도모할 수 있다."
"According to this configuration, the storage manager 141_5 may manage a message created in a message app.","일 실시 예에 따르면, 저장 매니저(141_5)는 메시지 앱에서 작성된 메시지를 관리할 수 있다."
"In some configurations, the second set of information is updated according to data from the second application.","일부 실시예들에서, 제2 세트의 정보는 제2 애플리케이션으로부터의 데이터에 따라 업데이트된다."
Vibration can occur at the beginning (or end) of the zoom process.,진동은 줌 프로세스의 시작(또는 끝)시에 일어날 수 있다.
The setting of the first mode and the second mode may be made by user setting.,제1 모드와 제2 모드의 설정은 사용자의 설정에 의해 이루어질 수 있다.
Table 2 shows the experimental results for calculating the Euclidean distance between two haptic pointers of the server and the client.,표 2는 서버와 클라이언트의 두 햅틱 포인터 간의 유클리드 거리를 계산하기위한 실험 결과를 나타낸다.
The stream of values ​​530 and 532 may each include multiple interleaved channels.,"값들(530, 532)의 스트림은 각각 다수의 인터리빙된 채널들을 포함할 수 있다."
The controller 180 may identify the detected location of the external device.,제어부(180)는 상기 감지된 외부기기의 위치를 식별할 수 있다.
Models may use heuristics to determine the importance and categories of notifications.,모델은 휴리스틱을 사용하여 알림의 중요성 및 카테고리를 결정할 수 있다.
Contents included in a specific folder may be displayed on the main area 1010.,메인 영역(1010) 상에는 특정 폴더에 포함된 컨텐츠들이 표시될 수 있다.
"According to the fifth aspect, a computer-readable recording medium on which a program for implementing the above-described method is recorded is provided.","제5 측면에 따라, 전술한 방법을 구현하기 위한 프로그램이 기록된 컴퓨터로 판독 가능한 기록 매체가 제공된다."
"The steering wheel can maintain the conventional thickness almost as it is, and can hardly protrude the input means to the outside.","조향휠은 종래의 두께를 거의 그대로 유지할 수 있으며, 또한 입력수단을 외부로 거의 돌출시키지 않을 수 있다."
The mean and standard deviation may be derived from the histogram data of Table 5 and the distribution diagram of FIG. 6.,상기 표 5의 히스토그램 데이터 및 상기 도 6의 분포도로부터 평균 및 표준 편차가 도출될 수 있다.
"According to various embodiments, the processor of live human-face detection includes changes to the screen display.","다양한 실시예들에 따라, 살아있는 사람-얼굴 검출의 프로세서는 스크린 디스플레이에 대한 변경들을 포함한다."
"The first preset number, the second preset number, the third preset number, and the fourth preset number may be the same or different.","제1 미리 설정된 횟수, 제2 미리 설정된 횟수, 제3 미리 설정된 횟수 및 제4 미리 설정된 횟수는 같거나 다를 수 있다."
Changing the content projected on the target object will change the content acquired during the process of photographing the target object.,타깃 대상에 투영된 콘텐츠의 변경은 타깃 대상을 촬영하는 과정 도중에 획득된 콘텐츠를 변경할 것이다.
"To this end, the user may determine at least one of location information and time information optimized for each of a plurality of applications.","이를 위해, 사용자는 복수의 애플리케이션들 각각에 최적화된 위치 정보 및 시각 정보 중 적어도 하나를 결정할 수 있다."
"In another embodiment, the compression unit 200 truncates the MSB of non-zero bytes.","다른 실시형태에서, 압축 유닛(200)은 넌제로 바이트의 MSB를 잘라낸다."
Processor 200 may visualize a model of an object based on the classified category.,프로세서(200)는 분류된 카테고리에 기초하여 객체에 대한 모델을 시각화할 수 있다.
The device may display stored data or icons to which various functions performed in the device are mapped.,단말기는 저장된 데이터 또는 단말기에서 수행되는 다양한 기능들이 각각 매핑된 아이콘을 표시할 수 있다.
The user terminal or the first node transmits the decoded traffic related data to the traffic flow control node.,사용자 단말기 또는 제1노드는 복호화 된 교통 관련 데이터를 교통흐름제어 노드로 전송한다.
"According to one embodiment, the tendon proximal portion 26 is glued to a portion of the frame 52.","일 실시예에 따르면, 상기 텐던 근위 부분(26)은 상기 프레임(52)의 부분에 접착된다."
"The user input may also have an associated speed, which refers to the speed at which the detected object moves.","사용자 입력은 또한 관련 속도를 가질 수 있는데, 이것은 감지된 객체가 움직이는 속도를 일컫는다."
"According to this configuration, one item may overlap the five segments described above.","일 실시예에 따르면, 하나의 아이템은 상술한 5개의 세그먼트와 중첩할 수 있다."
The scaler 600 is used to practice scaling by using the tooth model 700.,스케일러(600)는 치아모형(700)을 이용하여 스케일링 실습을 하는데 이용된다.
"Thereafter, when the obtained first number, the operation symbol, and the result of calculating the second number match a preset number, the unlocking may be performed.","이 후, 획득한 제1 숫자, 연산 기호 및 제2 숫자를 연산한 결과가 기설정된 숫자와 일치하면 잠금 해제를 수행할 수 있다."
The electronic device 10 may receive an input for selecting the basic setting item 612.,전자 장치(10)는 기본 설정 항목(612)을 선택하는 입력을 수신할 수 있다.
"Accordingly, the portable terminal can control functions consistent with the user's intention.","이로 인하여, 휴대 단말기는 사용자의 의도와 일치하게 기능을 제어할 수 있다."
"In some examples, the messaging interface function occurs when affordance is included in a notification rather than an alert.","일부 예들에서, 메시징 인터페이스 기능은 어포던스가 경고보다는 통지에 포함될 때 발생한다."
The vibration displacement may be lowered in a curved shape from the first time t1 to second time t2.,진동 변위는 제1 시간(t1)부터 제2 시간(t2)까지 곡선 형태로 하향될 수 있다.
"In this regard, the hover event can be tracked for the duration of the hover event.","이와 관련하여, 호버 이벤트는 호버 이벤트의 지속 기간 동안 추적될 수 있다."
The controller 180 may match a function to each preset pattern in advance.,상기 제어부(180)는 각 기 설정된 패턴에 미리 기능을 매칭시켜 놓을 수 있다.
The CB serves to protect the stored key by maintaining security from the outside.,상기 CB는 외부로부터의 보안을 유지하여 저장된 키를 보호하는 역할을 수행한다.
The flexible organic light emitting display device may be deformed in various directions and angles by an external force.,플렉서블 유기 발광 표시 장치는 외부에서 가해지는 힘에 의해 다양한 방향 및 각도로 변형될 수 있다.
A plurality of microphones may be disposed in the device 1000 to form a circular shape.,다수의 마이크들이 원형을 이루도록 디바이스(1000) 내에 배치될 수 있다.
"Accordingly, processor 130 may render the first object more naturally.","그에 따라, 프로세서(130)는 좀더 자연스럽게 제1 객체를 렌더링할 수 있다."
The web browser 141 transmits a document to the web driver 142 and requests printing.,웹 브라우저(141)는 웹 드라이버(142)에 문서를 전송하며 인쇄를 요청한다.
The display unit 130 may display the captured data separately from an uncaptured area.,디스플레이부(130)는 캡쳐된 데이터를 캡쳐되지 않은 영역과 구분하여 표시할 수 있다.
The speech/text conversion component 555 may facilitate processing by converting conversational speech input into text.,스피치/텍스트 변환 컴포넌트(555)는 음성 입력의 회화를 텍스트로 변환함으로써 처리를 용이하게 할 수 있다.
"The combination of parameters may include state information collected and stored by data logger 802, for example.","파라미터의 조합은 예를 들어, 데이터 로거(802)에 의해 수집되고 저장된 상태 정보를 포함할 수 있다."
It is possible to control to provide content for a tracked target.,트래킹된 대상에 대한 컨텐츠를 제공하도록 제어할 수 있다.
"Between the arc 407 and the arc 409 is a vibration-free section, and vibration-free can be maintained for 1 second.",원호(407)와 원호(409) 사이는 무진동 구간이며 1초 동안 무진동이 지속될 수 있다.
"Preferably the end regions of the first reinforcing element lie on the upper surface of the actuator, at least on the subregions of the upper surface.","바람직하게 제1 보강 요소의 단부 영역은 액추에이터의 상부면, 적어도 상부면의 서브 영역들 상에 놓여 있다."
"In Step S930, the device receives the requested additional information from the server.",단계 S930에서 디바이스는 요청된 부가 정보를 서버로부터 수신한다.
"In other words, the timing constraints created during synthesis must meet the worst case delay conditions.","다시 말해, 합성 동안에 생성되는 타이밍 제한은 최악의 경우를 생각한 지연 조건을 충족시켜야만 한다."
"In other embodiments, the modulated signal and transmitter signal are different in frequency, shape, phase, amplitude, and phase.","다른 실시형태들에서, 변조된 신호 및 송신기 신호는 주파수, 형상, 위상, 진폭, 및 위상이 상이하다."
"In addition, the electronic device may additionally move and display a pointer in response to a gesture sequentially input thereafter.","아울러, 전자 장치는 이후에 순차적으로 입력되는 제스처에 대응하여 포인터를 추가 이동하여 표시할 수도 있다."
"As a setting for tenant ID 721, the local authentication association mode is maintained.",테넌트 ID(721)를 위한 설정으로서 로컬 인증 제휴 모드가 유지된다.
"When the touch input pattern matches the preset pattern, the device may switch to the third mode.",터치 입력 패턴이 기설정된 패턴과 일치하는 경우 디바이스는 제3 모드로 전환될 수 있다.
One or more of these electronic devices may include a touch-sensitive surface.,이들 전자 디바이스들 중 하나 이상은 터치 감응형 표면을 포함할 수 있다.
The control unit 170 detects a request to end voice recognition in step 340.,제어부(170)는 340 과정에서 음성 인식 종료 요청을 감지한다.
"As described above, the voltage difference for each remaining capacity may increase as the charge/discharge slate increases.","상술한 바와 같이, 충방전 씨레이트가 커질수록 잔존 용량별 전압차는 증가할 수 있다."
A structure suitable for the employed display element can be selected from various structures of the pixel circuit.,채용되는 표시 소자에 적합한 구조를 화소 회로의 다양한 구조 중에서 선택할 수 있다.
Outdoor digital signage refers to digital signage installed on the exterior wall of a building or an electric sign.,아웃도어(outdoor) 디지털 사이니지는 건물 외벽이나 전광판 등에 설치된 디지털 사이니지를 의미한다.
The user may select multiple dates from among the calendar dates by dragging 812 with a touch pen.,사용자는 달력의 날짜들 중 복수 개의 날짜를 터치용 펜으로 드래그(812)하여 선택할 수 있다.
"After the number is extracted and stored, the remaining character string may be moved to site title extraction rule 313.",번호를 추출하여 저장한 이 후 잔여 문자열은 사이트 제목 추출 규칙(313)으로 이동할 수 있다.
"Watermarks may or may not be visible to the naked eye, but can be detected through computer analysis.","워터마크는 맨눈에 보일 수 있거나 맨눈에 보이지 않을 수 있으나, 컴퓨터 분석을 통해 감지될 수 있다."
"Bulk data stored in data warehouses may be applied to larger health care institutions, and delivery may be subscription based.","데이터 웨어하우스들에 저장된 벌크 데이터는 더 큰 건강 관리 기관들에 적용될 수 있고, 전달은 구독 기반일 수 있다."
"In particular, the artificial intelligence agent program may include a conversation system capable of processing user inquiries and responses in natural language.","특히, 인공 지능 에이전트 프로그램은 사용자 문의 및 응답을 자연어로 처리할 수 있는 대화 시스템을 포함할 수 있다."
Such methods and interfaces may complement or replace conventional methods for displaying information on a device.,그러한 방법들 및 인터페이스들은 디바이스에 정보를 디스플레이하기 위한 종래의 방법들을 보완하거나 대체할 수 있다.
Generation module 128 may access stored waveforms or commands to be transmitted to actuator 118.,생성 모듈(128)은 액츄에이터(118)에 전송할 저장된 파형 또는 명령에 액세스할 수 있다.
"In addition, existing methods take longer than necessary, thereby wasting energy.","게다가, 기존의 방법들은 필요한 것보다 더 오래 걸리고, 이에 의해 에너지를 낭비한다."
The content creation unit 26 serves to store the finally authored content in the form of a package.,콘텐츠 생성부(26)는 최종으로 저작된 콘텐츠를 패키지 형태로 저장하는 역할을 수행한다.
The user can select a specific block and display all information included in the selected block.,사용자는 특정 블록을 선택하여 선택한 블록에 포함된 모든 정보가 표시되도록 할 수 있다.
"Thereafter, the controller 100 controls a corresponding function currently in operation according to the recognized touch input.",이후 상기 제어부100은 상기 인식된 터치 입력에 따라 해당 현재 동작중인 기능을 제어한다.
"According to this configuration, the operation related to the second pressure sensor may be a reduction operation.","일 실시 예에 따르면, 상기 제2 압력 센서에 연관된 동작은 축소 동작일 수 있다."
"In the case of security measures, which are defensive actions, the security manager determines countermeasures to counter the identified attack behavior.","방어 행위인 보안 조치의 경우, 보안 관리자는 식별된 공격 행동에 대응하기 위한 대응책을 결정한다."
The input device may be inclined upward with respect to the reference point.,입력 장치가 기준점에 대해 위쪽으로 기울어져 있을 수 있다.
The medium access control (MAC) layer may perform priority handling and multiplexing of logical channels into transmission channels.,매체 액세스 제어(MAC) 계층은 우선순위 핸들링 및 논리 채널들의 송신 채널들로의 멀티플렉싱을 수행할 수도 있다.
Various bending interaction guides for expressing each bending may be provided.,각 벤딩을 표현하기 위한 다양한 벤딩 인터렉션 가이드들이 제공될 수 있다.
"By viewing the setting log, the history of setting changes in the game environment can be grasped.",설정 로그를 열람하면 게임 환경의 설정 변경의 히스토리를 파악할 수 있다.
"Optionally, in the foregoing implementation, the authentication device is configured to perform user authentication based on biometrics.","선택적으로, 전술한 실시에서, 인증 장치는 생체 인식에 기초해서 사용자 인증을 수행하도록 구성되어 있다."
"Likewise, user interface 512 may provide output to a user.","마찬가지로, 사용자 인터페이스(512)는 출력을 사용자에게 제공할 수 있다."
The second authentication unit 570 may update the keyboard input speed registered for implicit authentication from the first speed to the second speed.,제2 인증부(570)는 암묵적 인증을 위해 등록된 키보드 입력 속도를 제1 속도에서 제2 속도로 업데이트할 수 있다.
A second service such as a navigation service may be displayed and executed on the touch screen of the terminal device.,단말장치의 터치스크린 상에는 내비게이션 서비스 등 제2 서비스가 디스플레이되어 실행되고 있을 수 있다.
"Thereby, it is possible to always provide a print with new contents to the user.","그것에 의해, 유저에 대하여 항상 새로운 내용의 인쇄물을 제공할 수 있다."
"Data stored in the memo window (MW) includes text, pictures, photos, videos, and documents.","메모창(MW)에 저장되는 데이터는, 텍스트, 그림, 사진, 동영상 및 문서를 포함한다."
"In this embodiment, the touch input pattern Tx is provided on the first layer L1 as described above.",본 실시예에서 터치입력패턴(Tx)은 상술한 바와 같이 제1 레이어(L1) 상에 마련된다.
Component mounting machine 1 may further include a sensor for sensing a distance between component mounting machine 1 and the user.,부품 실장기(1)는 부품 실장기(1)와 사용자의 거리 감지를 위한 센서를 더 구비할 수 있다.
"In particular, the page defined in the present invention may be a page in which types of contents classified in combination are arranged.",특히 본 발명에서 정의하는 페이지는 종류가 구분되는 컨텐츠들이 복합적으로 배치된 페이지가 될 수 있다.
Cluster 43 may display a speed gauge representing the speed of the vehicle and an RPM gauge representing the RPM of the vehicle.,클러스터(43)는 차량의 속도를 나타내는 속도 게이지와 차량의 RPM을 나타내는 RPM 게이지를 표시할 수 있다.
User 106 may tilt or rotate the device to view different areas of the original video format.,사용자(106)는 디바이스를 기울이거나 회전시켜서 원형 비디오 포맷의 다른 영역들을 볼 수 있다.
"The time constant can be associated with a defined voltage amplitude or current amplitude, for example.","시간 상수는 예를 들어, 정의된 전압 진폭 또는 전류 진폭과 연관될 수 있다."
"As another example, the notification screen may be provided through a display panel provided in the image forming device 100 itself.","다른 예로, 알림 화면은 화상형성장치(100) 자체에 구비된 디스플레이 패널을 통해 제공될 수도 있다."
Memory 140 may store profile information and installation files for each app obtained from the app server.,메모리(140)는 앱 서버로부터 획득된 앱 각각에 대한 프로파일 정보 및 설치 파일을 저장할 수도 있다.
"In some examples, the peripheral may generate 3D input using inside-out tracking.","일부 예들에서, 주변기기는 인사이드-아웃 추적을 사용하여 3D 입력을 생성할 수 있다."
The electrical connections between the dies may be copper fillers or vias formed using a bump-free Cu-Cu bonding technique.,다이간 전기 연결부들은 범프없는 Cu-Cu 본딩 기술을 사용하여 형성되는 구리 필러들 또는 비아들일 수 있다.
"In recent years, many solutions that distinguish whether a specific product or product is genuine or counterfeit have been released.",최근에는 특정 상품이나 제품이 정품인지 가품인지를 구별해 주는 많은 솔루션들이 출시되고 있다.
Two or more haptic modules 154 may be provided depending on the configuration aspect of the user's electronic device 100.,햅틱 모듈(154)은 사용자 전자기기(100)의 구성 태양에 따라 2개 이상이 구비될 수 있다.
"That is, an arbitrary area selected by a user's touch may be set as an area in which a predetermined icon is displayed.","즉, 사용자의 터치에 의하여 선택되는 임의의 영역이 미리 정해진 아이콘이 표시되는 영역으로 설정될 수 있다."
The target file refers to a file that is the target of the user's file use behavior.,상기 대상 파일은 사용자의 파일 사용 행위의 대상이 되는 파일을 의미한다.
"Although it may be as it is, the speed-up is slightly hindered by impedance mismatch.","그대로 해도 좋지만, 임피던스의 부정합에 의해 고속화가 약간 방해된다."
This is very important to prevent power attacks initiated from the digital power supply side.,이는 디지털 전원 측으로부터 개시되는 전원 공격을 방지하기 위해 매우 중요하다.
"In one configuration, the compliant body is formed of a flexible material and is configured to conform to the surface of a physical object.","실시예에서, 순응형 바디는 플렉시블 재료로 형성되고, 물리적 오브젝트의 표면에 따르도록 구성된다."
"According to this configuration, the pressure sensor may include a front pressure sensor and a rear pressure sensor.","일 실시 예에 따르면, 상기 압력 센서는 전면 압력 센서 및 후면 압력 센서를 포함할 수 있다."
"Processor 11 may be any type of processor, controller, built-in controller, processor core, or the like.","프로세서(11)는 임의 타입의 프로세서, 제어기, 내장 제어기, 프로세서 코어 등일 수 있다."
"The virtual reality host may be a television set, a laptop computer, or an electronic device such as a smart phone.","가상 현실 호스트는 텔레비전 세트, 또는 노트북 컴퓨터, 또는 스마트 폰과 같은 전자 장비일 수 있다."
Workflows may be created with no information as to whether each process is essential.,워크플로우는 각각의 공정이 필수적인지의 여부에 대한 정보를 갖지 않도록 생성될 수 있다.
"According to this configuration, the electronic device may receive information on the state of charge of the battery 389 from the digital pen.","일 실시 예에 따르면, 전자 장치는 디지털 펜으로부터 배터리(389) 충전 상태에 대한 정보를 수신할 수 있다."
"More specifically, touch data sensed by the touch panel may vary according to the ambient temperature.","보다 구체적으로, 터치 패널에서 감지되는 터치 데이터는, 주변 온도에 따라 달라질 수 있다."
"In Step 940, server may determine whether the response data includes an inferred answer from the test data.","단계 940에서, 서버는 응답 데이터가 테스트 데이터로부터 유추 가능한 답변을 포함하는지 판단할 수 있다."
The output voltage signals are measured to detect any shift or change in the corresponding voltage value of the applied signal.,출력 전압 신호들은 인가된 신호의 해당 전압 값에 대한 임의의 시프트 또는 변화를 검출하도록 측정된다.
The short-range communication module 115 may be kept on at all times or may be turned on according to a user setting or input.,"이러한 근거리 통신 모듈(115)은 상시 온 상태를 유지하거나, 사용자 설정 또는 입력에 따라 턴-온될 수 있다."
"In some configurations, the user may feel these textures at different locations on the messaging device 102 simultaneously.","일부 실시예에서, 사용자는 이들 텍스처를 메시징 장치(102) 상의 상이한 위치에서 동시에 느낄 수 있다."
It may be possible to diagnose a neurodegenerative disease based on the user's voice utterance.,사용자의 음성 발화를 기준으로 퇴행성 신경질환에 대한 진단이 가능할 수 있다.
"According to the present method, the CRC test may be performed on L survival paths or on multiple survival paths of L survival paths.","본 방법에 따르면, CRC 검사는 L개의 생존 경로의 복수 개의 생존 경로 아니면 L개의 생존 경로 상에 수행될 수 있다."
The enlarged part may be a part including the control unit 310 of the air conditioner 300.,확대되는 일부는 에어콘(300)의 조작부(310)를 포함하는 부분일 수도 있다.
"First, in the process of calculating the cost, the cost required to perform each action is calculated by referring to the attack tree.","우선 비용을 계산하는 과정에서, 각 행동을 수행하는 데 필요한 비용은 공격 트리를 참조하여 계산된다."
Labels can also differentiate between human left eye and right eye eye images.,라벨들은 또한 사람의 왼쪽 눈 및 오른쪽 눈의 눈 이미지들을 구별할 수 있다.
"In other words, it is inevitably impossible to check related contents on one screen image.","즉, 관련된 내용을 하나의 화면 영상에서 확인하는 것이 불가능할 수밖에 없다."
"In particular, communication unit 150 may communicate with various servers including an SNS server.","특히, 통신부(150)는 SNS 서버를 포함하는 다양한 서버와 통신을 수행할 수 있다."
"According to one embodiment, the tendon distal portion 27 is not suitable for sliding on the tendon contact surface 18.","일 실시예에 따르면, 상기 텐던 원위 부분(27)은 텐던 접촉 표면(18)상에서 슬라이딩하기에 부적절하다."
"The bus is configured to connect the processor, storage medium, bus interface and user interface.","버스는 프로세서, 저장 매체, 버스 인터페이스 및 사용자 인터페이스를 연결하도록 구성된다."
"More specifically, the decoder unit reads the partial sum at the positions of row r and column c.","더욱 구체적으로는, 디코더 유닛은 로우 r와 컬럼 c의 위치에서 부분 합을 판독한다."
"Additionally, sensor electrodes 120 on the same substrate may have different shapes and sizes.","부가적으로, 동일한 기판 상의 센서 전극들(120)이 상이한 형상들 및 사이즈들을 가질 수도 있다."
The first processor 610 may acquire a user's fingerprint by adjusting the light source.,"제1 프로세서(610)는 광원을 조정하여, 사용자의 지문을 획득할 수 있다."
Different operating systems store the desired data in different locations or in different files.,다른 운영 체제는 원하는 데이터를 다른 위치 또는 다른 파일에 저장한다.
"Next, in Step 302, control unit 150 checks whether or not a touch event for selecting a window has occurred.",다음으로 단계 302에서 제어부(150)는 윈도우를 선택하는 터치이벤트의 발생 여부를 확인한다.
The method further includes identifying multiple cross-layer common patterns based on the decomposed GDS cross-layer clip.,방법은 분해된 GDS 교차 레이어 클립에 기초하여 복수의 교차 레이어 공통 패턴을 식별하는 단계를 더 포함한다.
The respective positions of the haptic output devices may be determined by sensing motion when the haptic output devices are activated.,햅틱 출력 디바이스들의 각자의 위치들은 햅틱 출력 디바이스들이 활성화될 때 모션을 감지함으로써 결정될 수 있다.
"In one configuration, at least one layer is conductive and is made of a metal foil such as copper.","일 실시예에서, 적어도 하나의 층은 전도성이며, 구리와 같은 금속 포일로 제조된다."
Touch sensitive device 10 may measure a distance between the contact area and each tactile object group.,터치 센서티브 디바이스(10)는 컨택트 영역과 각 택타일 오브젝트 그룹과의 거리를 측정할 수 있다.
"Then, the gate terminal may request authentication to the authentication server, and the authentication result may be transmitted from the authentication server to the gate terminal.","그러면, 게이트 단말이 인증서버로 인증요청하고, 인증서버에서 게이트단말로 인증결과를 전송할 수 있다."
"In one configuration, the control unit 110 may receive a plurality of sensor data from the sensor unit 130.","일 실시 예에서, 제어부(110)는 센서부(130)로부터 복수의 센서데이터를 수신할 수 있다."
The data encryption key extraction command is issued when the data encryption key stored in encryption unit 22 is backed up.,데이터 암호 키 추출 커맨드는 암호 유닛(22) 내에 저장된 데이터 암호 키가 백업될 때 발행된다.
The display direction of the divided area 5701 may be maintained the same as the existing display direction 5703.,분할영역(5701)의 디스플레이 방향은 기존의 디스플레이 방향(5703)과 동일하게 유지될 수 있다.
"The B value refers to bit string data of area information, distance information, first angle information, and second angle information.","B값은 넓이 정보, 거리 정보, 제1 각도 정보 및 제2 각도 정보의 비트 문자열 데이터를 의미한다."
"In virtual reality or augmented reality, it may be useful to execute an application using a gaze.","가상 현실이나 증강 현실에서는, 시선을 사용한 어플리케이션 실행이 유용할 수 있다."
These public knowledge bases are large and sometimes contain millions of entities.,"이러한 공공 지식 베이스들은 규모가 크며, 때로는 수백만 개의 엔티티들을 포함하다."
Such security events are detected by the anti-malware engine 56.,그러한 보안 이벤트들은 안티-멀웨어 엔진(56)에 의하여 탐지된다.
The area in which the first background image 31b and the second background image 31a are displayed may vary according to a user's touch input.,제1 배경 영상(31b) 및 제2 배경 영상(31a)이 표시되는 영역은 사용자의 터치 입력에 따라 달라질 수 있다.
The methods and systems disclosed herein are applicable to the use of any CPIO device.,본 명세서에 개시된 방법 및 시스템은 임의의 CPIO 장치의 사용에 적용가능하다.
"In some configurations, the content provider 202 creates tagged enabled content 212.","일부 실시예들에서, 콘텐츠 제공자(202)는 태깅 인에이블드 콘텐츠(212)를 생성한다."
"Detection and handling of other rule violations, such as those discussed elsewhere in this specification, may be handled similarly.",본 명세서의 다른 부분에서 논의된 규칙 위반과 같은 다른 규칙 위반의 감지 및 처리는 유사하게 처리될 수 있다.
"The virtualization interface monitor may receive, detect, or block requests to access owned resources.","가상화 인터페이스 모니터는 소유된 리소스를 액세스하기 위한 요청을 수신, 검출, 또는 차단할 수도 있다."
It may refer to the type and order of information displayed on the screen of the user terminal.,사용자 단말의 화면에 출력되는 정보의 종류 및 출력 순서 의미할 수 있다.
"In some configurations, the user interface is primarily designed to collaborate with finger-based contacts and gestures.","일부 실시예들에서, 사용자 인터페이스는, 주로 손가락 기반 접촉들 및 제스처들과 협업하도록 설계된다."
"In addition, whether or not a menu is selected through gaze recognition is determined based on blinking of an eye or a time when the gaze is positioned at the button.","아울러, 시선 인식을 통한 메뉴 선택 여부는 눈의 깜빡임 또는 시선이 버튼에 위치하는 시간에 기초하여 판단한다."
"If the algorithm cannot capture the center, the center of the entire image may be set as the center.",알고리즘이 중심부를 잡아내지 못할 경우에는 전체 이미지의 정중앙을 중심부로 설정할 수도 있다.
The coordinate measuring device may continue to receive a user input without displaying the text recognition result.,"좌표 측정 장치는 텍스트 인식 결과를 표시하지 않으면서, 사용자 입력을 계속 입력받을 수 있다."
"According to an aspect of this invention, an electronic device including touch sensing unit 2 and a vibration motor driving unit 1 may be provided.","본 발명의 일 관점에 따라 터치감지부(2), 및 진동모터 구동부(1)을 포함하는 전자장치를 제공할 수 있다."
"In another embodiment, time information for a time stamp or other synchronization mechanism is obtained.","다른 실시예에서, 타임 스탬프 또는 다른 동기화 메커니즘에 대한 시간 정보가 얻어진다."
"After transmitting the recognized fingerprint information to the main control chip 7, the fingerprint recognition module 6 enters the dormant mode again.","인식된 지문 정보를 메인 컨트롤 칩(7)에 전송한 후, 지문 인식 모듈(6)은 다시금 휴면 모드로 들어간다."
"For this process, a neural network or a predetermined machine learning technique may be used.",이러한 과정은 뉴럴 네트워크 또는 소정의 머신러닝 기법이 이용될 수 있다.
"In some examples, the transmitter 920 may be co-located with the receiver 910 in the transceiver module.","일부 예들에서, 송신기(920)는 트랜시버 모듈에서의 수신기(910)와 병치될 수도 있다."
"If the press strength is weak, a low tone can be output, and if the press strength is relatively strong, a high tone can be output.",프레스 세기가 약하면 저음이 출력되고 상대적으로 프레스 세기가 강하면 고음이 출력될 수 있다.
"According to this configuration, a response to a voice command may be generated in various formats.","일 실시 예에 따르면, 음성 명령에 대한 응답은 다양한 포맷(format)으로 생성될 수 있다."
"For odd parity, the parity bit may be set to zero when the odd number of bits is 1.","기수 패리티에 대해, 패리티 비트는 기수 개수의 비트가 1인 경우 제로로 설정될 수도 있다."
"In some aspects, block 460 may include parsing the query string to identify tokens.","일부 양태들에서, 블록(460)은 토큰들을 식별하기 위해 쿼리 스트링을 파싱하는 것을 포함할 수 있다."
The user may easily delete the record of the operation he performed with the locking system in the locked mode.,사용자는 자신이 잠금 모드에서 잠금 시스템으로 실행한 작업에 대한 기록을 용이하게 삭제할 수 있다.
Pressing is an operation of touching a point with a touch input means and then pressing the point.,프레스는 터치 입력 수단으로 어느 한 지점을 터치한 후 해당 지점을 누르는 조작이다.
The voltage at the terminals of the element is then determined by the difference between two measured successive voltage values.,"이어서, 엘리먼트의 단자들의 전압은 2개의 측정된 연속적인 전압 값 사이의 차이에 의해 결정된다."
"In this invention, reading may mean detecting or detecting whether each unit cell is shorted.",본 발명에서 독출이라는 것은 유닛 셀 각각의 단락 여부를 검출 또는 감지하는 것일 수 있다.
The track surface can be used to track the user's posture or orientation in a VR environment.,트랙 표면은 VR 환경에서 사용자의 자세 또는 배향을 추적하는데 사용될 수 있다.
The display window 230 is used as a text conversion window.,상기 디스플레이 창(230)은 텍스트 변환 창으로 사용된다.
"In this example, there may be a synchronization mechanism on different DMAGs in the system.","이러한 예에서, 시스템의 상이한 DMAG들 상에 동기화 메카니즘이 존재할 수 있다."
A piezoelectric element refers to a device that senses pressure or generates deformation/vibration using a piezoelectric effect.,압전소자는 압전효과를 이용하여 압력을 감지하거나 변형/진동을 발생시키는 장치를 말한다.
The controller 600 may identify the changed object in response to a user's selection input for the changed object.,"제어부(600)는 변경된 객체에 대한 사용자의 선택 입력에 대응하여, 변경된 객체를 식별할 수 있다."
The display control unit may include the timing control unit and the scaler.,상기 디스플레이제어부는 상기 타이밍컨트롤러 및 상기 스케일러를 포함할 수 있다.
The operator physically contacts the tool 20 to cause the tool 20 to move.,조작자가 도구(20)와 물리적으로 접촉하여 도구(20)의 이동을 유발한다.
The print control device 102 includes a display device 111 and may be a device such as a liquid crystal monitor.,"인쇄 제어 장치(102)는 표시 장치(111)를 구비하며, 액정 모니터 등의 장치일 수 있다."
"These common characteristics may be stored as sensor value thresholds, or as a sequence of one or more of motion patterns.","이들 공통 특성은 센서 값 임계값들, 또는 움직임 패턴들의 하나 이상의 시퀀스로서 저장될 수 있다."
"The content may include, for example, information necessary for an operation that is being executed or has been executed.","상기 컨텐트는, 예를 들어, 실행 중이거나 실행 완료된 동작에 필요한 정보를 포함할 수 있다."
"In Step S230, it is determined whether or not the touch event is mis-touched based on the touch data.","단계 S230, 상기 터치 데이터에 근거하여, 상기 터치 이벤트의 오터치 여부를 결정한다."
